edge_type,source_id,source_name,source_genre,source_release_date,source_notable,source_notoriety_date,target_id,target_name,target_genre,target_release_date,target_notable
LyricalReferenceTo,13431,Constellation of Us,Oceanus Folk,2013,True,,15646,Motherland's Golden Horizon,Oceanus Folk,2010,True
InStyleOf,15027,Fragments of Unresolved Dialogues,Oceanus Folk,2023,True,,15646,Motherland's Golden Horizon,Oceanus Folk,2010,True
InterpolatesFrom,7291,Twisted Strands,Dream Pop,2017,True,2017,8233,Roots and Winds of Departure,Oceanus Folk,2010,True
LyricalReferenceTo,7345,Whispers Behind Walls,Alternative Rock,2017,True,,7920,Manifest Destiny Blues,Oceanus Folk,2010,True
InStyleOf,8079,Glance My Way,Oceanus Folk,2013,True,,12332,Whispers in Maria's Slumber,Oceanus Folk,2010,True
InStyleOf,14940,Faded Polaroids,Oceanus Folk,2025,True,2038,8233,Roots and Winds of Departure,Oceanus Folk,2010,True
CoverOf,8006,Scream Between Whispers,Americana,2018,True,2018,8233,Roots and Winds of Departure,Oceanus Folk,2010,True
InterpolatesFrom,15812,Elevation of Desire,Oceanus Folk,2023,True,,6752,Soft Collisions,Oceanus Folk,2010,True
InterpolatesFrom,5616,Invisible Strings,Space Rock,2018,False,,5100,Sylvan Bride's Lament,Oceanus Folk,2010,True
LyricalReferenceTo,3367,Courage in Quiet Moments,Oceanus Folk,2023,True,,6752,Soft Collisions,Oceanus Folk,2010,True
InStyleOf,16276,Perimeter,Oceanus Folk,2020,True,,11485,Eternal Connection,Oceanus Folk,2010,True
CoverOf,12574,Analog Affection Anthem,Doom Metal,2023,True,,12332,Whispers in Maria's Slumber,Oceanus Folk,2010,True
LyricalReferenceTo,13027,Shadows Beneath the Palm,Oceanus Folk,2026,True,,8233,Roots and Winds of Departure,Oceanus Folk,2010,True
InStyleOf,12882,Cardiac Whispers,Oceanus Folk,2026,True,,12332,Whispers in Maria's Slumber,Oceanus Folk,2010,True
InStyleOf,12362,Dust and Spurs,Oceanus Folk,2024,True,2040,12332,Whispers in Maria's Slumber,Oceanus Folk,2010,True
LyricalReferenceTo,15851,Whispers in the Locket,Indie Folk,2026,True,,6752,Soft Collisions,Oceanus Folk,2010,True
InStyleOf,5276,Windborne Dialogues of Three Horns,Indie Folk,2013,True,,9186,Landscape Echoes,Oceanus Folk,2011,True
LyricalReferenceTo,10055,"Lights, Camera, Heartbreak",Dream Pop,2023,True,,9186,Landscape Echoes,Oceanus Folk,2011,True
CoverOf,11679,Snapshot of Forever,Oceanus Folk,2026,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
InStyleOf,16457,Manger's Midnight,Oceanus Folk,2021,True,,9685,Earthsong Eternal,Oceanus Folk,2013,True
CoverOf,3828,Fragments of Flight,Oceanus Folk,2025,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
InterpolatesFrom,14720,Crimson Ledger of the Desert Riders,Oceanus Folk,2023,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
LyricalReferenceTo,15851,Whispers in the Locket,Indie Folk,2026,True,,8079,Glance My Way,Oceanus Folk,2013,True
LyricalReferenceTo,15048,Fire digte om kærlighed og sorg,Desert Rock,2023,True,,9322,Wandering Spirit of Prague,Oceanus Folk,2013,True
CoverOf,16264,Ceremonial Footsteps,Oceanus Folk,2026,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
CoverOf,3358,Carry Me Through,Dream Pop,2017,True,,8079,Glance My Way,Oceanus Folk,2013,True
CoverOf,1069,Behind the Picture Glass,Synthwave,2026,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
LyricalReferenceTo,8714,Luminous Silence,Oceanus Folk,2025,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
InterpolatesFrom,8714,Luminous Silence,Oceanus Folk,2025,True,,6611,Completely Crazy (About You),Oceanus Folk,2013,True
InStyleOf,8504,Arachnid Aria,Space Rock,2028,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
LyricalReferenceTo,8122,Cordless Connections,Dream Pop,2029,True,,1863,Whispers of a Forgotten Melody,Oceanus Folk,2013,False
InterpolatesFrom,4299,Último intento (Last attempt),Desert Rock,2030,False,,14746,Scarlet Letter Sarah,Oceanus Folk,2013,True
DirectlySamples,15954,Inches Apart,Oceanus Folk,2023,True,2023,16524,Trembling Syringe,Oceanus Folk,2013,True
InterpolatesFrom,14804,The Forgotten Turret,Americana,2027,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
InterpolatesFrom,16264,Ceremonial Footsteps,Oceanus Folk,2026,True,,9685,Earthsong Eternal,Oceanus Folk,2013,True
InStyleOf,8858,Chromatic Reflections on a Theme,Oceanus Folk,2026,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
InterpolatesFrom,13691,Silent Goodbye,Indie Folk,2026,True,,9602,Light Before Sunrise,Oceanus Folk,2013,True
LyricalReferenceTo,9446,Classical Fragments,Desert Rock,2027,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
InterpolatesFrom,6833,The Last Sweet Moment,Dream Pop,2023,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
CoverOf,11515,Perfectly Plastic,Oceanus Folk,2025,True,,12270,Shadows of a Forgotten Name,Oceanus Folk,2013,True
InterpolatesFrom,5730,Wayward Journey,Oceanus Folk,2022,True,,9685,Earthsong Eternal,Oceanus Folk,2013,True
InterpolatesFrom,6065,Push Through the Doubt,Dream Pop,2029,True,,6611,Completely Crazy (About You),Oceanus Folk,2013,True
CoverOf,2102,Granite Heartbeat,Americana,2025,True,,1863,Whispers of a Forgotten Melody,Oceanus Folk,2013,False
InterpolatesFrom,11978,Sparks Unbound,Oceanus Folk,2023,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
DirectlySamples,1489,Perfection's Reflection,Oceanus Folk,2023,True,,6611,Completely Crazy (About You),Oceanus Folk,2013,True
LyricalReferenceTo,10426,Somewhere Between Somewhere,Oceanus Folk,2026,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
CoverOf,12718,Grease Lightning,Space Rock,2027,False,,6611,Completely Crazy (About You),Oceanus Folk,2013,True
InterpolatesFrom,3025,Destiny's Call,Oceanus Folk,2017,False,,16524,Trembling Syringe,Oceanus Folk,2013,True
CoverOf,6170,Twilight's Gentle Whisper,Oceanus Folk,2023,True,,9685,Earthsong Eternal,Oceanus Folk,2013,True
DirectlySamples,4077,Starlit Passion,Jazz Surf Rock,2023,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
LyricalReferenceTo,662,Waiting for Steven,Indie Folk,2028,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
DirectlySamples,12490,Celestial Praise,Oceanus Folk,2029,True,,6611,Completely Crazy (About You),Oceanus Folk,2013,True
LyricalReferenceTo,10258,Echoes of Gilead,Indie Folk,2023,True,2023,16524,Trembling Syringe,Oceanus Folk,2013,True
CoverOf,10111,Passages of Light,Darkwave,2019,True,,553,Midnight's Restless Echo,Oceanus Folk,2013,True
InterpolatesFrom,14469,Take It All,Space Rock,2026,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
InterpolatesFrom,3053,Dreaming in Technicolor,Desert Rock,2024,True,,6611,Completely Crazy (About You),Oceanus Folk,2013,True
LyricalReferenceTo,9628,Needle's Nostalgic Dance,Desert Rock,2029,True,,6611,Completely Crazy (About You),Oceanus Folk,2013,True
InStyleOf,12691,Winds of the Basque Shore,Oceanus Folk,2017,True,,16524,Trembling Syringe,Oceanus Folk,2013,True
InterpolatesFrom,16192,The Question That Lingers,Oceanus Folk,2026,True,,12270,Shadows of a Forgotten Name,Oceanus Folk,2013,True
InStyleOf,8557,Blank Slate Boulevard,Oceanus Folk,2023,True,,6524,Tenement of Freedom,Oceanus Folk,2014,True
InStyleOf,3358,Carry Me Through,Dream Pop,2017,True,,9709,Fragments of Consciousness,Oceanus Folk,2014,True
DirectlySamples,7982,Twelve Months of You,Oceanus Folk,2024,True,,6524,Tenement of Freedom,Oceanus Folk,2014,True
InStyleOf,13530,Fireworks and Freedom,Oceanus Folk,2017,True,,6524,Tenement of Freedom,Oceanus Folk,2014,True
DirectlySamples,3362,Rising From the Shadows,Synthwave,2022,True,,9709,Fragments of Consciousness,Oceanus Folk,2014,True
CoverOf,12365,Lonesome Trail Ballad,Americana,2013,True,,9709,Fragments of Consciousness,Oceanus Folk,2014,True
CoverOf,13436,Infinite Horizon,Doom Metal,2017,True,,6524,Tenement of Freedom,Oceanus Folk,2014,True
InStyleOf,720,Ethereal Wanderer,Oceanus Folk,2023,True,2023,9709,Fragments of Consciousness,Oceanus Folk,2014,True
InterpolatesFrom,7441,Nothing Left Untried,Desert Rock,2030,True,2030,6524,Tenement of Freedom,Oceanus Folk,2014,True
InStyleOf,6941,Echoes of Devotion,Oceanus Folk,2023,True,,6524,Tenement of Freedom,Oceanus Folk,2014,True
InStyleOf,1859,Shadows of the Minor Scale,Oceanus Folk,2017,True,2017,3730,First Breath of Desire,Oceanus Folk,2016,True
LyricalReferenceTo,14683,Sunlight on Ivory and Bow,Dream Pop,2029,True,2029,11831,Fragments of a Poet's Breath,Oceanus Folk,2016,True
InStyleOf,2260,Inherited Arguments,Symphonic Metal,2029,True,,3730,First Breath of Desire,Oceanus Folk,2016,True
DirectlySamples,1874,Dusty Miles,Dream Pop,2023,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
CoverOf,12067,Fragments of Friendship,Oceanus Folk,2024,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,5267,Tripartite Fanfare of Metallic Voices,Space Rock,2027,True,2027,14762,Heavenly Radiance,Oceanus Folk,2017,True
LyricalReferenceTo,13691,Silent Goodbye,Indie Folk,2026,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
LyricalReferenceTo,11870,Radiant Hearts,Indie Folk,2028,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,13691,Silent Goodbye,Indie Folk,2026,True,,3194,Abundance Overflowing,Oceanus Folk,2017,True
LyricalReferenceTo,11749,The Memory of Xiao,Space Rock,2024,True,,3025,Destiny's Call,Oceanus Folk,2017,False
DirectlySamples,11567,Wild Tonight,Oceanus Folk,2023,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,11329,Crown and Conscience,Space Rock,2025,True,,3025,Destiny's Call,Oceanus Folk,2017,False
DirectlySamples,577,Roadmap to Your Heart,Space Rock,2027,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,7876,Falling Without a Parachute,Oceanus Folk,2027,True,2027,3025,Destiny's Call,Oceanus Folk,2017,False
LyricalReferenceTo,12138,Unbreakable Divine Shelter,Oceanus Folk,2030,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InterpolatesFrom,15779,Whisper Your Truth,Dream Pop,2027,True,,2153,Wheels in Motion,Oceanus Folk,2017,True
CoverOf,10903,Parallel Memories,Dream Pop,2028,True,,9096,Grip and Grace,Oceanus Folk,2017,True
InStyleOf,10754,Unified Steps of Joy,Dream Pop,2023,True,,12634,Fragments of a Forgotten Continent,Oceanus Folk,2017,True
InterpolatesFrom,16400,Aquatic Rebirth (1983),Oceanus Folk,2023,True,2023,6994,Clocktower Cadence,Oceanus Folk,2017,True
InStyleOf,6065,Push Through the Doubt,Dream Pop,2029,True,,9096,Grip and Grace,Oceanus Folk,2017,True
InStyleOf,10426,Somewhere Between Somewhere,Oceanus Folk,2026,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InterpolatesFrom,4023,Echoes of Bananal's Green,Oceanus Folk,2026,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
CoverOf,7839,Eternal Praise Resounding,Desert Rock,2020,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,6170,Twilight's Gentle Whisper,Oceanus Folk,2023,True,,3025,Destiny's Call,Oceanus Folk,2017,False
LyricalReferenceTo,14220,Grip of Memory,Oceanus Folk,2026,False,,6994,Clocktower Cadence,Oceanus Folk,2017,True
InterpolatesFrom,2169,Brake Lights and Broken Hearts,Oceanus Folk,2026,True,,6417,Whispers from a Distant Refrain,Oceanus Folk,2017,True
InterpolatesFrom,11130,Denali's Whisper,Space Rock,2027,True,,2153,Wheels in Motion,Oceanus Folk,2017,True
InStyleOf,4299,Último intento (Last attempt),Desert Rock,2030,False,,15441,Choreography of Forbidden Passion,Oceanus Folk,2017,True
DirectlySamples,12490,Celestial Praise,Oceanus Folk,2029,True,,9096,Grip and Grace,Oceanus Folk,2017,True
InterpolatesFrom,16259,Twilight of the Weekly Cycle,Indie Folk,2023,True,,3025,Destiny's Call,Oceanus Folk,2017,False
LyricalReferenceTo,13396,Waiting by the Phone,Oceanus Folk,2029,True,,15441,Choreography of Forbidden Passion,Oceanus Folk,2017,True
CoverOf,1823,Rebel Without a Pause,Oceanus Folk,2029,True,,6417,Whispers from a Distant Refrain,Oceanus Folk,2017,True
InStyleOf,13369,Sovereign of Endless Realms,Space Rock,2025,True,2025,14762,Heavenly Radiance,Oceanus Folk,2017,True
LyricalReferenceTo,1665,Savanna's Ugly Beauty,Oceanus Folk,2026,True,,3194,Abundance Overflowing,Oceanus Folk,2017,True
InterpolatesFrom,13280,Cash Charisma,Indie Folk,2030,True,,3194,Abundance Overflowing,Oceanus Folk,2017,True
DirectlySamples,13280,Cash Charisma,Indie Folk,2030,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
DirectlySamples,13232,The Wisdom of Not Knowing,Oceanus Folk,2027,True,,14762,Heavenly Radiance,Oceanus Folk,2017,True
InStyleOf,13232,The Wisdom of Not Knowing,Oceanus Folk,2027,True,,6417,Whispers from a Distant Refrain,Oceanus Folk,2017,True
InStyleOf,1823,Rebel Without a Pause,Oceanus Folk,2029,True,,15441,Choreography of Forbidden Passion,Oceanus Folk,2017,True
InterpolatesFrom,13161,Forgotten Lands of Sidböle,Desert Rock,2024,True,,14762,Heavenly Radiance,Oceanus Folk,2017,True
InterpolatesFrom,4393,Whispers from Below,Oceanus Folk,2029,True,2029,3194,Abundance Overflowing,Oceanus Folk,2017,True
CoverOf,3909,Everything's Alright,Oceanus Folk,2020,True,,3025,Destiny's Call,Oceanus Folk,2017,False
CoverOf,17017,Writ in Blood,Indie Rock,2038,True,,2153,Wheels in Motion,Oceanus Folk,2017,True
InterpolatesFrom,13538,Summer of '76,Oceanus Folk,2024,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InterpolatesFrom,13538,Summer of '76,Oceanus Folk,2024,True,,6818,Paradise Parallel,Oceanus Folk,2017,True
InStyleOf,15886,Intellectual Passion,Desert Rock,2025,True,,14762,Heavenly Radiance,Oceanus Folk,2017,True
InStyleOf,16586,Silicon Serenade,Synthwave,2026,True,2026,16225,Blueprint Whispers,Oceanus Folk,2017,True
InStyleOf,13600,Scars and Surrenders,Dream Pop,2025,True,,12691,Winds of the Basque Shore,Oceanus Folk,2017,True
LyricalReferenceTo,5035,Skogens Fortelling (The Forest's Tale),Space Rock,2028,True,,3025,Destiny's Call,Oceanus Folk,2017,False
DirectlySamples,12718,Grease Lightning,Space Rock,2027,False,,3025,Destiny's Call,Oceanus Folk,2017,False
CoverOf,5089,Drowning in My Own Image,Indie Folk,2020,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,12625,Whispers Between Dimensions,Oceanus Folk,2027,True,,14762,Heavenly Radiance,Oceanus Folk,2017,True
InStyleOf,5089,Drowning in My Own Image,Indie Folk,2020,True,,14762,Heavenly Radiance,Oceanus Folk,2017,True
InStyleOf,12524,Reef Road Reverie,Oceanus Folk,2030,True,,3025,Destiny's Call,Oceanus Folk,2017,False
CoverOf,4299,Último intento (Last attempt),Desert Rock,2030,False,,6417,Whispers from a Distant Refrain,Oceanus Folk,2017,True
CoverOf,13047,Kingdom Within,Desert Rock,2029,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,14220,Grip of Memory,Oceanus Folk,2026,False,,15441,Choreography of Forbidden Passion,Oceanus Folk,2017,True
InStyleOf,2379,Unwanted (And Still Waiting),Synthpop,2027,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
InStyleOf,3275,"My Heart, Your Lifeline",Desert Rock,2023,True,,3194,Abundance Overflowing,Oceanus Folk,2017,True
CoverOf,3580,Shadows of Unexpressed Feelings,Dream Pop,2027,True,,3025,Destiny's Call,Oceanus Folk,2017,False
CoverOf,9214,Unsere gemeinsame Stimme,Desert Rock,2028,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InterpolatesFrom,10173,Echoes of Yesterday,Desert Rock,2026,True,,3025,Destiny's Call,Oceanus Folk,2017,False
CoverOf,7019,Counterpoint's Silent Serenade,Oceanus Folk,2023,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InterpolatesFrom,14750,Rumor's Daughter,Jazz Surf Rock,2028,True,,3025,Destiny's Call,Oceanus Folk,2017,False
LyricalReferenceTo,8983,Parisian Rainfall at Twilight,Jazz Surf Rock,2029,True,,9096,Grip and Grace,Oceanus Folk,2017,True
CoverOf,8881,Shylock's Shadows,Oceanus Folk,2020,True,,9096,Grip and Grace,Oceanus Folk,2017,True
LyricalReferenceTo,15027,Fragments of Unresolved Dialogues,Oceanus Folk,2023,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
CoverOf,15017,Echoes of the Puszta: Chamber Variations,Oceanus Folk,2023,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
