edge_type,source_id,source_name,source_type,target_id,target_name,target_type,key
PerformerOf,30,Megan Bennett,Person,4932,Harmony in the Alleyway,Album,0
ProducerOf,30,Megan Bennett,Person,4932,Harmony in the Alleyway,Album,1
ComposerOf,30,Megan Bennett,Person,5110,Wilderness Vows at Twilight,Song,0
PerformerOf,30,Megan Bennett,Person,5110,Wilderness Vows at Twilight,Song,1
ProducerOf,30,Megan Bennett,Person,7574,Braided Stories,Song,0
PerformerOf,30,Megan Bennett,Person,9239,Horizon's Aftermath,Song,0
PerformerOf,30,Megan Bennett,Person,10090,Candlelight Confessions,Song,0
ProducerOf,30,Megan Bennett,Person,10289,Tulip's Lament,Song,0
PerformerOf,30,Megan Bennett,Person,10475,Blooming Duality,Song,0
PerformerOf,30,Megan Bennett,Person,11236,Unbroken Promise,Song,0
ProducerOf,30,Megan Bennett,Person,11236,Unbroken Promise,Song,1
LyricistOf,30,Megan Bennett,Person,11572,Fever Pitch Madness,Song,0
PerformerOf,30,Megan Bennett,Person,11572,Fever Pitch Madness,Song,1
LyricistOf,30,Megan Bennett,Person,12041,Whispers and Touches,Song,0
PerformerOf,30,Megan Bennett,Person,12979,Forgiveness Falls,Album,0
ProducerOf,30,Megan Bennett,Person,12979,Forgiveness Falls,Album,1
LyricistOf,30,Megan Bennett,Person,13545,Gleaming Hope's Horizon,Song,0
PerformerOf,30,Megan Bennett,Person,13545,Gleaming Hope's Horizon,Song,1
PerformerOf,30,Megan Bennett,Person,15047,The Last Frame of Pola,Song,0
ProducerOf,30,Megan Bennett,Person,15047,The Last Frame of Pola,Song,1
ProducerOf,30,Megan Bennett,Person,15315,Urban Rhythm Legends,Song,0
ComposerOf,30,Megan Bennett,Person,15702,Mirrors of Deception,Song,0
PerformerOf,30,Megan Bennett,Person,15702,Mirrors of Deception,Song,1
ComposerOf,30,Megan Bennett,Person,16421,Unraveled (A Cassidy Story),Song,0
PerformerOf,30,Megan Bennett,Person,16421,Unraveled (A Cassidy Story),Song,1
InStyleOf,35,Sober Streets,Album,8364,The Destructive Impulse,Album,0
RecordedBy,35,Sober Streets,Album,38,Roccastrada,RecordLabel,0
ProducerOf,36,Alexis Church,Person,35,Sober Streets,Album,0
ComposerOf,37,Hansh Ramanathan,Person,35,Sober Streets,Album,0
PerformerOf,37,Hansh Ramanathan,Person,35,Sober Streets,Album,1
ComposerOf,37,Hansh Ramanathan,Person,10799,Southern Redemption Highway,Song,0
ComposerOf,37,Hansh Ramanathan,Person,15769,Sovereign Soil,Song,0
RecordedBy,39,Healthier Than Yesterday,Song,41,Pulse Wave Music,RecordLabel,0
PerformerOf,40,Na Dong,Person,39,Healthier Than Yesterday,Song,0
LyricistOf,40,Na Dong,Person,39,Healthier Than Yesterday,Song,1
ComposerOf,40,Na Dong,Person,39,Healthier Than Yesterday,Song,2
ComposerOf,40,Na Dong,Person,5519,Garden's Symphony,Song,0
PerformerOf,40,Na Dong,Person,5519,Garden's Symphony,Song,1
RecordedBy,42,Midnight Clarity,Song,46,Echo Vault Records,RecordLabel,0
DistributedBy,42,Midnight Clarity,Song,46,Echo Vault Records,RecordLabel,1
LyricistOf,43,James Taylor,Person,42,Midnight Clarity,Song,0
PerformerOf,43,James Taylor,Person,42,Midnight Clarity,Song,1
ComposerOf,43,James Taylor,Person,7406,Straight and Narrow,Song,0
ComposerOf,43,James Taylor,Person,16171,Silver in Her Palm,Song,0
PerformerOf,43,James Taylor,Person,16171,Silver in Her Palm,Song,1
ProducerOf,43,James Taylor,Person,16223,Midnight in Kos,Song,0
ProducerOf,44,Jennifer Smith,Person,42,Midnight Clarity,Song,0
PerformerOf,44,Jennifer Smith,Person,16171,Silver in Her Palm,Song,0
ComposerOf,45,Kyle Anderson,Person,42,Midnight Clarity,Song,0
PerformerOf,45,Kyle Anderson,Person,16171,Silver in Her Palm,Song,0
DirectlySamples,48,Arcane Whispers,Song,7116,Suffering's Embrace,Song,0
LyricalReferenceTo,48,Arcane Whispers,Song,10673,Gravel Road Home,Song,0
RecordedBy,48,Arcane Whispers,Song,53,Univalle Groove,RecordLabel,0
LyricistOf,49,Xia Yang,Person,48,Arcane Whispers,Song,0
ComposerOf,50,Tao Zeng,Person,48,Arcane Whispers,Song,0
PerformerOf,50,Tao Zeng,Person,48,Arcane Whispers,Song,1
PerformerOf,51,Guiying Qin,Person,48,Arcane Whispers,Song,0
PerformerOf,52,Na Guo,Person,48,Arcane Whispers,Song,0
ProducerOf,52,Na Guo,Person,48,Arcane Whispers,Song,1
LyricistOf,52,Na Guo,Person,764,Windswept Bloodline,Song,0
PerformerOf,52,Na Guo,Person,13611,Trust No One,Song,0
ProducerOf,52,Na Guo,Person,14316,Echoes of a Hundred Horizons,Song,0
PerformerOf,52,Na Guo,Person,15662,Whispers of a Heartache,Song,0
DirectlySamples,54,Starlight's Sorcerer,Song,7713,Whiskey's Silent Witness,Song,0
RecordedBy,54,Starlight's Sorcerer,Song,59,Crystalline Echo,RecordLabel,0
DistributedBy,54,Starlight's Sorcerer,Song,58,Verdant Echo Recordings,RecordLabel,0
PerformerOf,55,Miki Hasegawa,Person,54,Starlight's Sorcerer,Song,0
PerformerOf,55,Miki Hasegawa,Person,7713,Whiskey's Silent Witness,Song,0
PerformerOf,56,Asuka Takahashi,Person,54,Starlight's Sorcerer,Song,0
ProducerOf,56,Asuka Takahashi,Person,54,Starlight's Sorcerer,Song,1
LyricistOf,56,Asuka Takahashi,Person,7713,Whiskey's Silent Witness,Song,0
PerformerOf,56,Asuka Takahashi,Person,7713,Whiskey's Silent Witness,Song,1
PerformerOf,56,Asuka Takahashi,Person,14344,Captured Silence,Song,0
ProducerOf,56,Asuka Takahashi,Person,14344,Captured Silence,Song,1
ComposerOf,57,Miki Miura,Person,54,Starlight's Sorcerer,Song,0
PerformerOf,57,Miki Miura,Person,7713,Whiskey's Silent Witness,Song,0
InterpolatesFrom,60,Runes and Riddles,Song,13681,Stitching Sacrifice,Song,0
InStyleOf,60,Runes and Riddles,Song,13758,Whispers of the Shoreline,Song,0
RecordedBy,60,Runes and Riddles,Song,68,Heidewerken Records,RecordLabel,0
DistributedBy,60,Runes and Riddles,Song,69,Calende Sound,RecordLabel,0
LyricistOf,61,Mitchell Hernandez,Person,60,Runes and Riddles,Song,0
ProducerOf,62,Christopher Harris,Person,60,Runes and Riddles,Song,0
PerformerOf,63,Min Qiao,Person,60,Runes and Riddles,Song,0
PerformerOf,64,April Morris,Person,60,Runes and Riddles,Song,0
PerformerOf,65,Sara Parker,Person,60,Runes and Riddles,Song,0
PerformerOf,65,Sara Parker,Person,5079,The Pool of Self-Obsession,Song,0
ProducerOf,65,Sara Parker,Person,8339,Echoes of Childhood Walls,Song,0
ProducerOf,65,Sara Parker,Person,11195,Untethered Winds,Album,0
PerformerOf,65,Sara Parker,Person,16429,Cavalry of Color,Album,0
ProducerOf,65,Sara Parker,Person,16429,Cavalry of Color,Album,1
PerformerOf,66,Gang Su,Person,60,Runes and Riddles,Song,0
MemberOf,67,Guiying Pan,Person,16839,Whispered Embers,MusicalGroup,0
PerformerOf,67,Guiying Pan,Person,60,Runes and Riddles,Song,0
PerformerOf,67,Guiying Pan,Person,766,Daughters of the Scorched Earth,Song,0
PerformerOf,67,Guiying Pan,Person,13603,Beyond the Broken,Song,0
PerformerOf,67,Guiying Pan,Person,16512,The Day That Changes Everything,Song,0
ProducerOf,67,Guiying Pan,Person,16512,The Day That Changes Everything,Song,1
LyricalReferenceTo,71,Forgotten Incantation,Album,15899,Speak Between Lines,Song,0
InterpolatesFrom,71,Forgotten Incantation,Album,12515,Melodic Gasp,Album,0
RecordedBy,71,Forgotten Incantation,Album,79,Mucambo Groove,RecordLabel,0
DistributedBy,71,Forgotten Incantation,Album,79,Mucambo Groove,RecordLabel,1
LyricistOf,72,Amy Mejia,Person,71,Forgotten Incantation,Album,0
PerformerOf,72,Amy Mejia,Person,71,Forgotten Incantation,Album,1
PerformerOf,73,Yang Pan,Person,71,Forgotten Incantation,Album,0
PerformerOf,74,Min Hu,Person,71,Forgotten Incantation,Album,0
LyricistOf,74,Min Hu,Person,2893,Whispers in the Dark,Song,0
ComposerOf,74,Min Hu,Person,3205,Whispers of the Moonlit Ensemble,Album,0
PerformerOf,74,Min Hu,Person,3205,Whispers of the Moonlit Ensemble,Album,1
ComposerOf,74,Min Hu,Person,6954,Masked Whispers of the Commedia,Song,0
PerformerOf,74,Min Hu,Person,6954,Masked Whispers of the Commedia,Song,1
LyricistOf,74,Min Hu,Person,12515,Melodic Gasp,Album,0
PerformerOf,74,Min Hu,Person,15899,Speak Between Lines,Song,0
PerformerOf,75,Juan Feng,Person,71,Forgotten Incantation,Album,0
ComposerOf,75,Juan Feng,Person,5826,Mirror of Affection,Song,0
ComposerOf,75,Juan Feng,Person,8952,Forest Echoes and Forgotten Dreams,Song,0
PerformerOf,75,Juan Feng,Person,8952,Forest Echoes and Forgotten Dreams,Song,1
PerformerOf,75,Juan Feng,Person,12515,Melodic Gasp,Album,0
ComposerOf,75,Juan Feng,Person,15089,Silent Chords of Memory,Song,0
PerformerOf,75,Juan Feng,Person,15089,Silent Chords of Memory,Song,1
PerformerOf,76,Ming Ren,Person,71,Forgotten Incantation,Album,0
PerformerOf,76,Ming Ren,Person,2057,Algorithmic Whispers,Song,0
PerformerOf,76,Ming Ren,Person,5046,Høstens Melodi (Autumn's Melody),Album,0
ProducerOf,76,Ming Ren,Person,5046,Høstens Melodi (Autumn's Melody),Album,1
PerformerOf,76,Ming Ren,Person,8785,Waiting in the Wings,Song,0
PerformerOf,76,Ming Ren,Person,12237,Provence Aria,Song,0
RecordedBy,81,Elektronische Schritte Mit Italienern,Song,85,Placard Records,RecordLabel,0
DistributedBy,81,Elektronische Schritte Mit Italienern,Song,84,Botha Recordings,RecordLabel,0
MemberOf,82,Min Ye,Person,16800,Lunar Echo,MusicalGroup,0
PerformerOf,82,Min Ye,Person,81,Elektronische Schritte Mit Italienern,Song,0
LyricistOf,82,Min Ye,Person,14350,Midnight Clock,Song,0
LyricistOf,82,Min Ye,Person,15389,Pentatonic Whispers from Kyoto,Album,0
PerformerOf,82,Min Ye,Person,15389,Pentatonic Whispers from Kyoto,Album,1
PerformerOf,82,Min Ye,Person,15789,Speak Between The Lines,Song,0
PerformerOf,82,Min Ye,Person,16162,Midnight on the Embankment,Album,0
MemberOf,83,Loretta Roberts,Person,16800,Lunar Echo,MusicalGroup,0
ComposerOf,83,Loretta Roberts,Person,81,Elektronische Schritte Mit Italienern,Song,0
PerformerOf,83,Loretta Roberts,Person,15389,Pentatonic Whispers from Kyoto,Album,0
PerformerOf,83,Loretta Roberts,Person,15789,Speak Between The Lines,Song,0
PerformerOf,83,Loretta Roberts,Person,16162,Midnight on the Embankment,Album,0
CoverOf,86,Retro-Rhythmen Der 80er,Song,6006,Mercy's Endless Tide,Song,0
RecordedBy,86,Retro-Rhythmen Der 80er,Song,91,Verdant Groove,RecordLabel,0
PerformerOf,87,Jun Gu,Person,86,Retro-Rhythmen Der 80er,Song,0
PerformerOf,87,Jun Gu,Person,14859,Twilight's Whisper in F,Song,0
ProducerOf,88,Yan Feng,Person,86,Retro-Rhythmen Der 80er,Song,0
ComposerOf,89,Xiuying Dong,Person,86,Retro-Rhythmen Der 80er,Song,0
PerformerOf,89,Xiuying Dong,Person,86,Retro-Rhythmen Der 80er,Song,1
LyricistOf,89,Xiuying Dong,Person,14859,Twilight's Whisper in F,Song,0
MemberOf,90,Xiulan Li,Person,16816,Psycho Twang,MusicalGroup,0
LyricistOf,90,Xiulan Li,Person,86,Retro-Rhythmen Der 80er,Song,0
PerformerOf,90,Xiulan Li,Person,86,Retro-Rhythmen Der 80er,Song,1
ComposerOf,90,Xiulan Li,Person,4818,Unaccompanied Heart,Song,0
PerformerOf,90,Xiulan Li,Person,8553,Cội Nguồn Bất Diệt (Immortal Roots),Song,0
LyricistOf,90,Xiulan Li,Person,14859,Twilight's Whisper in F,Song,0
PerformerOf,90,Xiulan Li,Person,14859,Twilight's Whisper in F,Song,1
InterpolatesFrom,92,Synth-Pop Tanz Explosion,Song,12673,Whispers of Impermanence,Song,0
LyricalReferenceTo,92,Synth-Pop Tanz Explosion,Song,13681,Stitching Sacrifice,Song,0
RecordedBy,92,Synth-Pop Tanz Explosion,Song,101,Tangerine Pulse,RecordLabel,0
DistributedBy,92,Synth-Pop Tanz Explosion,Song,100,Nixon's Archive,RecordLabel,0
ComposerOf,93,Jun Fan,Person,92,Synth-Pop Tanz Explosion,Song,0
PerformerOf,93,Jun Fan,Person,92,Synth-Pop Tanz Explosion,Song,1
PerformerOf,93,Jun Fan,Person,11746,Echoes in Silk and Shadow,Song,0
PerformerOf,94,Yan Yuan,Person,92,Synth-Pop Tanz Explosion,Song,0
PerformerOf,95,Diana Johnson,Person,92,Synth-Pop Tanz Explosion,Song,0
LyricistOf,96,Tammy Washington,Person,92,Synth-Pop Tanz Explosion,Song,0
PerformerOf,97,Lei Zhou,Person,92,Synth-Pop Tanz Explosion,Song,0
ComposerOf,98,Yong Yu,Person,92,Synth-Pop Tanz Explosion,Song,0
PerformerOf,98,Yong Yu,Person,92,Synth-Pop Tanz Explosion,Song,1
PerformerOf,98,Yong Yu,Person,11746,Echoes in Silk and Shadow,Song,0
MemberOf,99,Miki Hayashi,Person,16890,Estación Sonora,MusicalGroup,0
PerformerOf,99,Miki Hayashi,Person,92,Synth-Pop Tanz Explosion,Song,0
PerformerOf,99,Miki Hayashi,Person,4253,Unsilenced Voice,Album,0
PerformerOf,99,Miki Hayashi,Person,6268,Harmonic Crossroads,Song,0
PerformerOf,99,Miki Hayashi,Person,7177,Transatlantic Wingspan,Song,0
PerformerOf,99,Miki Hayashi,Person,8292,Blue and Orange Blood,Song,0
PerformerOf,99,Miki Hayashi,Person,13062,Rhythmic Undertow,Song,0
PerformerOf,99,Miki Hayashi,Person,14156,The Unnamed Reflection,Song,0
CoverOf,102,Neon Nacht Bewegung,Song,5427,Harvest Whispers,Album,0
DistributedBy,102,Neon Nacht Bewegung,Song,105,Meridian Sound Studios,RecordLabel,0
ComposerOf,103,Cristina Marenzio,Person,102,Neon Nacht Bewegung,Song,0
PerformerOf,103,Cristina Marenzio,Person,5427,Harvest Whispers,Album,0
PerformerOf,104,Enzio Caffarelli,Person,102,Neon Nacht Bewegung,Song,0
ProducerOf,104,Enzio Caffarelli,Person,102,Neon Nacht Bewegung,Song,1
InStyleOf,106,Borderless Horizons,Song,5075,Reflection's Embrace,Song,0
InStyleOf,106,Borderless Horizons,Song,12091,Hearts Bound by Ancient Vows,Song,0
InterpolatesFrom,106,Borderless Horizons,Song,15275,Royal Cobblestone Waltz,Album,0
LyricalReferenceTo,106,Borderless Horizons,Song,15443,Intertwined: A Dance of Three,Song,0
RecordedBy,106,Borderless Horizons,Song,110,Northern Horizon,RecordLabel,0
DistributedBy,106,Borderless Horizons,Song,110,Northern Horizon,RecordLabel,1
MemberOf,107,Pompeo Turchi,Person,16875,Subterranean Whispers,MusicalGroup,0
PerformerOf,107,Pompeo Turchi,Person,106,Borderless Horizons,Song,0
ComposerOf,107,Pompeo Turchi,Person,6588,Closing Time Conscience,Song,0
PerformerOf,107,Pompeo Turchi,Person,6588,Closing Time Conscience,Song,1
PerformerOf,107,Pompeo Turchi,Person,15309,Sister's Lament,Song,0
PerformerOf,108,Brandon Vasquez,Person,15275,Royal Cobblestone Waltz,Album,0
LyricistOf,108,Brandon Vasquez,Person,15275,Royal Cobblestone Waltz,Album,1
PerformerOf,108,Brandon Vasquez,Person,106,Borderless Horizons,Song,0
LyricistOf,108,Brandon Vasquez,Person,6588,Closing Time Conscience,Song,0
PerformerOf,108,Brandon Vasquez,Person,6588,Closing Time Conscience,Song,1
PerformerOf,108,Brandon Vasquez,Person,15443,Intertwined: A Dance of Three,Song,0
MemberOf,109,Audrey-Camille Nicolas,Person,16875,Subterranean Whispers,MusicalGroup,0
ProducerOf,109,Audrey-Camille Nicolas,Person,106,Borderless Horizons,Song,0
ProducerOf,109,Audrey-Camille Nicolas,Person,5075,Reflection's Embrace,Song,0
PerformerOf,109,Audrey-Camille Nicolas,Person,6588,Closing Time Conscience,Song,0
PerformerOf,109,Audrey-Camille Nicolas,Person,7861,Midnight's Whisper,Song,0
PerformerOf,109,Audrey-Camille Nicolas,Person,13582,Whispers Through the Woodland Shadows,Album,0
ProducerOf,109,Audrey-Camille Nicolas,Person,14309,Remembered Breath,Song,0
LyricistOf,109,Audrey-Camille Nicolas,Person,15309,Sister's Lament,Song,0
LyricistOf,109,Audrey-Camille Nicolas,Person,15443,Intertwined: A Dance of Three,Song,0
PerformerOf,109,Audrey-Camille Nicolas,Person,15443,Intertwined: A Dance of Three,Song,1
RecordedBy,112,Cartographic Dreams,Song,118,Periáñez Pulse,RecordLabel,0
DistributedBy,112,Cartographic Dreams,Song,118,Periáñez Pulse,RecordLabel,1
ProducerOf,113,Fang Zhong,Person,112,Cartographic Dreams,Song,0
ComposerOf,113,Fang Zhong,Person,8650,Vocal Echoes,Song,0
PerformerOf,113,Fang Zhong,Person,8650,Vocal Echoes,Song,1
LyricistOf,114,Jie Long,Person,112,Cartographic Dreams,Song,0
PerformerOf,114,Jie Long,Person,8773,Blooming Love's Embrace,Song,0
ComposerOf,114,Jie Long,Person,12025,Nocturnal Reverie,Song,0
PerformerOf,115,Ping Meng,Person,112,Cartographic Dreams,Song,0
ProducerOf,115,Ping Meng,Person,827,When Pigs Fly,Song,0
PerformerOf,115,Ping Meng,Person,1791,Stockholm Sunshine,Song,0
ProducerOf,115,Ping Meng,Person,2277,Satellite Heart,Song,0
ProducerOf,115,Ping Meng,Person,2467,Embers of a Forgotten Child,Album,0
ProducerOf,115,Ping Meng,Person,6785,Circular Motion,Song,0
ProducerOf,115,Ping Meng,Person,8211,Rewind and Return,Song,0
PerformerOf,115,Ping Meng,Person,8650,Vocal Echoes,Song,0
PerformerOf,115,Ping Meng,Person,8773,Blooming Love's Embrace,Song,0
ProducerOf,115,Ping Meng,Person,8773,Blooming Love's Embrace,Song,1
ProducerOf,115,Ping Meng,Person,11327,Royal Reverence,Song,0
ProducerOf,115,Ping Meng,Person,11677,Forbidden Embrace,Song,0
PerformerOf,115,Ping Meng,Person,12025,Nocturnal Reverie,Song,0
ProducerOf,115,Ping Meng,Person,12025,Nocturnal Reverie,Song,1
PerformerOf,115,Ping Meng,Person,14045,Seine's Midnight Bloom,Song,0
PerformerOf,115,Ping Meng,Person,14566,Midsummer Dance on Roslagen Shore,Album,0
ProducerOf,115,Ping Meng,Person,14566,Midsummer Dance on Roslagen Shore,Album,1
LyricistOf,115,Ping Meng,Person,16580,Liquid Escape,Song,0
PerformerOf,115,Ping Meng,Person,16580,Liquid Escape,Song,1
ComposerOf,116,Wei Ye,Person,112,Cartographic Dreams,Song,0
PerformerOf,116,Wei Ye,Person,112,Cartographic Dreams,Song,1
ProducerOf,116,Wei Ye,Person,8650,Vocal Echoes,Song,0
InterpolatesFrom,121,Invisible Lines,Song,5288,Broadway's Glittering Moment,Album,0
RecordedBy,121,Invisible Lines,Song,127,Real Rhythm,RecordLabel,0
PerformerOf,122,Sabina Hrušková,Person,121,Invisible Lines,Song,0
PerformerOf,123,Naděžda Pešková,Person,121,Invisible Lines,Song,0
PerformerOf,124,Michal Žák,Person,121,Invisible Lines,Song,0
PerformerOf,125,Miluše Dušková,Person,121,Invisible Lines,Song,0
PerformerOf,126,Miloš Pokorný,Person,13254,Pristine Falling Apart,Album,0
LyricistOf,126,Miloš Pokorný,Person,13254,Pristine Falling Apart,Album,1
ComposerOf,126,Miloš Pokorný,Person,13254,Pristine Falling Apart,Album,2
PerformerOf,126,Miloš Pokorný,Person,121,Invisible Lines,Song,0
ProducerOf,126,Miloš Pokorný,Person,121,Invisible Lines,Song,1
DirectlySamples,128,Sovereign Echoes,Song,12237,Provence Aria,Song,0
LyricalReferenceTo,128,Sovereign Echoes,Song,5348,Porcelain Rebellion,Album,0
RecordedBy,128,Sovereign Echoes,Song,138,Adriatic Resonance,RecordLabel,0
DistributedBy,128,Sovereign Echoes,Song,138,Adriatic Resonance,RecordLabel,1
ProducerOf,129,Kim Gonzalez,Person,128,Sovereign Echoes,Song,0
LyricistOf,130,Yang Gu,Person,128,Sovereign Echoes,Song,0
