work_id,work_name,node_type,genre,release_date,written_date,notoriety_date,notable,performer_id,performer_name,performer_type
4861,Civic Pride: A Municipal Melody,Song,Speed Metal,1996,1996,1996,True,2207,Brian Wright,Person
8355,Whispers of Self-Destruction,Song,Synthwave,1996,,1996,True,8356,Julita Koziarz,Person
8355,Whispers of Self-Destruction,Song,Synthwave,1996,,1996,True,8357,Hansjürgen Börner,Person
8355,Whispers of Self-Destruction,Song,Synthwave,1996,,1996,True,1459,Marcel Derek,Person
4861,Civic Pride: A Municipal Melody,Song,Speed Metal,1996,1996,1996,True,30,Megan Bennett,Person
5218,Sunset Over Wandering Hearts,Song,Blues Rock,1996,,1996,True,235,Shannon Gordon,Person
6160,Outsiders By Design,Song,Alternative Rock,1997,,1997,True,3073,Ingeborg Ullrich,Person
9326,"Gypsy Heart, Restless Soul",Song,Indie Rock,1997,,1997,True,9328,Gundel Klapp,Person
7723,"Neon Nights, Lonely Fights",Album,Southern Gothic Rock,1997,1997,1997,True,7725,Jon Peters,Person
9618,The Crackle of Yesteryear,Album,Doom Metal,1997,,1997,True,9620,John Sanchez,Person
9326,"Gypsy Heart, Restless Soul",Song,Indie Rock,1997,,1997,True,9327,Herr Heinz-Gerd Schleich,Person
9326,"Gypsy Heart, Restless Soul",Song,Indie Rock,1997,,1997,True,9329,Edward Kraushaar,Person
16495,Landscapes of a Forgotten Melody,Song,Southern Gothic Rock,1997,,1997,True,2793,Adrian Carroll,Person
731,Don't Hold Me Down,Song,Lo-Fi Electronica,1997,,1997,True,733,Denise Knight,Person
1121,The Tiny Toe's Journey,Song,Southern Gothic Rock,1997,1997,1997,True,1123,Ronnie Cook,Person
5866,Radiant Horizon,Album,Dream Pop,1997,,1997,True,5868,Marcelina Wochnik,Person
15034,Silent Screen Siren,Song,Alternative Rock,1997,,1997,True,15037,Sheila Cox,Person
5866,Radiant Horizon,Album,Dream Pop,1997,,1997,True,5869,Alex Halama,Person
16659,Hey Now!,Album,Darkwave,1997,1997,1997,True,16663,Madeleine Raymond,Person
5866,Radiant Horizon,Album,Dream Pop,1997,,1997,True,5870,Tymon Miszta,Person
16659,Hey Now!,Album,Darkwave,1997,1997,1997,True,16662,Alex Leblanc,Person
16659,Hey Now!,Album,Darkwave,1997,1997,1997,True,16661,Anouk Carre,Person
5907,Shattered Illusions,Album,Indie Folk,1997,,1997,True,5908,Georges Besnard,Person
7723,"Neon Nights, Lonely Fights",Album,Southern Gothic Rock,1997,1997,1997,True,7421,Timothy Lewis,Person
5907,Shattered Illusions,Album,Indie Folk,1997,,1997,True,5909,Kaitlyn Warren,Person
5866,Radiant Horizon,Album,Dream Pop,1997,,1997,True,5867,Anastazja Brózda,Person
15034,Silent Screen Siren,Song,Alternative Rock,1997,,1997,True,15036,Sarah Ward,Person
15034,Silent Screen Siren,Song,Alternative Rock,1997,,1997,True,2358,Denise Bell,Person
4609,Brass and Brass: A Polka Memoir,Song,Avant-Garde Folk,1997,,1997,True,4611,Kamila Ornat,Person
15034,Silent Screen Siren,Song,Alternative Rock,1997,,1997,True,15038,Isaac Joubert,Person
4008,Daughter of Paths,Song,Dream Pop,1997,1997,1997,True,4010,Laure du Hebert,Person
4008,Daughter of Paths,Song,Dream Pop,1997,1997,1997,True,4011,Nathalie Legrand,Person
6160,Outsiders By Design,Song,Alternative Rock,1997,,1997,True,6161,Hellmut Graf,Person
5866,Radiant Horizon,Album,Dream Pop,1997,,1997,True,16833,Whispered Strings,MusicalGroup
4609,Brass and Brass: A Polka Memoir,Song,Avant-Garde Folk,1997,,1997,True,4610,Apolonia Chlebda,Person
9815,Identical Windows,Album,Indie Folk,1997,,1997,True,9816,Klara Kuźnia,Person
9815,Identical Windows,Album,Indie Folk,1997,,1997,True,223,Borys Kościk,Person
9815,Identical Windows,Album,Indie Folk,1997,,1997,True,220,Ewa Zwara,Person
3819,Dominion's Twilight,Song,Synthwave,1997,,1997,True,3820,Melanie Jimenez,Person
9815,Identical Windows,Album,Indie Folk,1997,,1997,True,222,Jakub Dziuda,Person
11938,Shattered Devotion,Song,Indie Pop,1998,,1998,True,3352,Marcus Spence,Person
11938,Shattered Devotion,Song,Indie Pop,1998,,1998,True,3742,David Wilcox,Person
15025,Echoes of Uncertain Hands,Song,Southern Gothic Rock,1999,,1999,True,13238,Elisabet Manola Aguirre Solís,Person
16560,Slow Motion Weekend,Album,Speed Metal,1999,,1999,True,16563,Kenneth Maldonado,Person
16560,Slow Motion Weekend,Album,Speed Metal,1999,,1999,True,16561,Christopher Humphrey,Person
5455,Quarantine Whispers,Song,Southern Gothic Rock,1999,,1999,True,5456,Matthew Miller,Person
11635,Echoes of Intimacy,Song,Synthwave,1999,1999,1999,True,835,Franck Prévost de la Bertrand,Person
13046,Mercy's Melody,Song,Southern Gothic Rock,1999,1999,1999,True,6948,Lori Hall,Person
11635,Echoes of Intimacy,Song,Synthwave,1999,1999,1999,True,11636,Lucie Tanguy,Person
5455,Quarantine Whispers,Song,Southern Gothic Rock,1999,,1999,True,1021,Przemysław Grupa,Person
6899,Shattered Pieces,Song,Synthwave,2000,,2000,True,6900,Jie Du,Person
8168,Heinäsirkat Soittaa (The Grasshoppers Play),Album,Oceanus Folk,2000,,2000,True,8169,Jacob Arnold,Person
12531,Midnight Heartland,Song,Dream Pop,2000,2000,2000,True,4009,Christopher Thomas,Person
12531,Midnight Heartland,Song,Dream Pop,2000,2000,2000,True,16884,Balkan Prisms,MusicalGroup
6899,Shattered Pieces,Song,Synthwave,2000,,2000,True,455,Yang Peng,Person
12531,Midnight Heartland,Song,Dream Pop,2000,2000,2000,True,12533,Tyler Martinez,Person
802,Whispers in the Embrace,Album,Indie Rock,2000,,2000,True,803,Breanna Wright,Person
6899,Shattered Pieces,Song,Synthwave,2000,,2000,True,457,Min Cao,Person
8168,Heinäsirkat Soittaa (The Grasshoppers Play),Album,Oceanus Folk,2000,,2000,True,8170,Latasha Watts,Person
12531,Midnight Heartland,Song,Dream Pop,2000,2000,2000,True,12532,Xavier Gaillard,Person
12531,Midnight Heartland,Song,Dream Pop,2000,2000,2000,True,4011,Nathalie Legrand,Person
3286,Neram Nadhi (Time River),Song,Alternative Rock,2001,,2001,True,3287,Alexander Jenkins,Person
13358,Tractor Tales and Cornrow Trails,Song,Jazz Surf Rock,2001,,2001,True,13360,Sylwia Hołota,Person
5535,Unspoken Praise,Song,Doom Metal,2001,,2001,True,5538,Donald Oliver,Person
5535,Unspoken Praise,Song,Doom Metal,2001,,2001,True,5539,Sean Rodgers,Person
5265,Brass Whispers in Ascending Harmony,Album,Speed Metal,2002,,2002,True,151,Gang Zhao,Person
5611,Traces of Your Heart,Song,Emo/Pop Punk,2002,,2002,True,5613,Wei Liu,Person
5265,Brass Whispers in Ascending Harmony,Album,Speed Metal,2002,,2002,True,149,Xia Fu,Person
16057,Honeycomb Memories from Alabama,Song,Synthwave,2002,,2002,True,16059,Chao Tian,Person
806,Holding Closer Than Words,Song,Southern Gothic Rock,2002,2002,2002,True,808,Pavlína Macháčková,Person
5265,Brass Whispers in Ascending Harmony,Album,Speed Metal,2002,,2002,True,150,Li Luo,Person
5611,Traces of Your Heart,Song,Emo/Pop Punk,2002,,2002,True,5612,Juan Qiao,Person
5265,Brass Whispers in Ascending Harmony,Album,Speed Metal,2002,,2002,True,5266,Guiying Hou,Person
16057,Honeycomb Memories from Alabama,Song,Synthwave,2002,,2002,True,15411,Ming Liang,Person
13335,Intervals Between Silence,Song,Lo-Fi Electronica,2002,,2002,True,4783,Qiang Lei,Person
15855,Sacred Fragments,Song,Synthwave,2003,,2003,True,455,Yang Peng,Person
15855,Sacred Fragments,Song,Synthwave,2003,,2003,True,15856,Ming Zhou,Person
15855,Sacred Fragments,Song,Synthwave,2003,,2003,True,457,Min Cao,Person
15855,Sacred Fragments,Song,Synthwave,2003,,2003,True,15224,Juan Shi,Person
2639,Windowsill Whispers,Song,Speed Metal,2003,2003,2003,True,2207,Brian Wright,Person
10694,Midnight in Moravia,Song,Psychedelic Rock,2004,,2004,True,10697,Amanda Brock,Person
16054,Sweet Nectar of the Southern Hive,Song,Dream Pop,2004,2004,2004,True,16056,Jie Peng,Person
16262,Seventh Wave of Freedom,Album,Dream Pop,2004,,2004,True,2841,Sheryl Massey,Person
15248,Bonnie Prince Charlie's Last March,Album,Jazz Surf Rock,2004,2004,2004,True,223,Borys Kościk,Person
1440,Diabolic Dance,Album,Blues Rock,2004,2004,2004,True,16810,Peripheral Circuit,MusicalGroup
7273,Final Breath's Embrace,Album,Dream Pop,2004,,2004,True,7276,Tammy Howell,Person
7273,Final Breath's Embrace,Album,Dream Pop,2004,,2004,True,7275,Whitney Schmidt,Person
3881,Susurros de Pasión,Song,Synthwave,2004,,2004,True,3760,Min Long,Person
7273,Final Breath's Embrace,Album,Dream Pop,2004,,2004,True,7274,Fang Gao,Person
3881,Susurros de Pasión,Song,Synthwave,2004,,2004,True,3761,Gang Shao,Person
3881,Susurros de Pasión,Song,Synthwave,2004,,2004,True,3763,Qiang Yuan,Person
10694,Midnight in Moravia,Song,Psychedelic Rock,2004,,2004,True,1227,Jun Xia,Person
10694,Midnight in Moravia,Song,Psychedelic Rock,2004,,2004,True,10696,David Moore,Person
15135,Martyrdom's Embrace,Song,Blues Rock,2004,2004,2004,True,4943,Ilona Stolze,Person
1495,Radiant Beyond Compare,Song,Doom Metal,2004,1997,2004,True,1499,Bernfried Stolze,Person
1495,Radiant Beyond Compare,Song,Doom Metal,2004,1997,2004,True,1496,Francesco Lachmann-Ruppert,Person
10996,Echoes from the Vocal Shrine,Song,Alternative Rock,2004,,2004,True,3820,Melanie Jimenez,Person
10249,Echoes of Absence,Song,Synthwave,2004,,2004,True,10251,Fang Mao,Person
11368,Forced Feast,Song,Southern Gothic Rock,2004,,2004,True,1294,Urszula Stochmal,Person
1495,Radiant Beyond Compare,Song,Doom Metal,2004,1997,2004,True,16813,The Seekers,MusicalGroup
3881,Susurros de Pasión,Song,Synthwave,2004,,2004,True,3882,Juan Zhou,Person
3881,Susurros de Pasión,Song,Synthwave,2004,,2004,True,3883,Yang Zhao,Person
5986,Congregation's Whisper,Song,Americana,2004,,2004,True,16903,Velvet Horizon,MusicalGroup
1440,Diabolic Dance,Album,Blues Rock,2004,2004,2004,True,1445,Maggie Faivre,Person
1440,Diabolic Dance,Album,Blues Rock,2004,2004,2004,True,1443,Sayuri Sato,Person
1440,Diabolic Dance,Album,Blues Rock,2004,2004,2004,True,1442,Élodie Albert,Person
1440,Diabolic Dance,Album,Blues Rock,2004,2004,2004,True,1441,Astrid Lecoq,Person
1495,Radiant Beyond Compare,Song,Doom Metal,2004,1997,2004,True,1497,Horst Barkholz,Person
15135,Martyrdom's Embrace,Song,Blues Rock,2004,2004,2004,True,4940,Alicia Heinz,Person
11368,Forced Feast,Song,Southern Gothic Rock,2004,,2004,True,1815,Konrad Goss,Person
11033,Cradle of Infinite Promise,Song,Doom Metal,2004,,2004,True,11034,Michael Sexton,Person
5986,Congregation's Whisper,Song,Americana,2004,,2004,True,5987,Kristi Yu,Person
16418,Whispers from the Heartline,Song,Synthwave,2004,,2004,True,16419,Pari Sharaf,Person
5986,Congregation's Whisper,Song,Americana,2004,,2004,True,5989,Christopher Davis,Person
1495,Radiant Beyond Compare,Song,Doom Metal,2004,1997,2004,True,304,Belinda Knappe,Person
15135,Martyrdom's Embrace,Song,Blues Rock,2004,2004,2004,True,15137,Enno Reinhardt,Person
3881,Susurros de Pasión,Song,Synthwave,2004,,2004,True,934,Jun Zhou,Person
11033,Cradle of Infinite Promise,Song,Doom Metal,2004,,2004,True,8468,David Lopez,Person
16054,Sweet Nectar of the Southern Hive,Song,Dream Pop,2004,2004,2004,True,16055,Yolanda Mendoza,Person
10249,Echoes of Absence,Song,Synthwave,2004,,2004,True,10250,Li Wu,Person
9958,Fragments of Unspoken Harmony,Song,Indie Rock,2004,2004,2004,True,9959,Wei Ma,Person
5986,Congregation's Whisper,Song,Americana,2004,,2004,True,5990,Stephanie Garcia,Person
1440,Diabolic Dance,Album,Blues Rock,2004,2004,2004,True,16818,The Feast,MusicalGroup
11033,Cradle of Infinite Promise,Song,Doom Metal,2004,,2004,True,11035,Cynthia Reed,Person
6271,Intervals of Twilight,Album,Alternative Rock,2004,,2004,True,3015,Dariusz Olszowa,Person
16054,Sweet Nectar of the Southern Hive,Song,Dream Pop,2004,2004,2004,True,3478,Tao Bai,Person
3881,Susurros de Pasión,Song,Synthwave,2004,,2004,True,16823,Ursus,MusicalGroup
15766,Union Jack Heart,Song,Indie Folk,2004,2004,2004,True,15768,Christopher Davis,Person
9650,Spirited Cadence [B-Key],Album,Speed Metal,2005,,2005,True,3271,Caroline King,Person
9650,Spirited Cadence [B-Key],Album,Speed Metal,2005,,2005,True,3272,Christian Mcpherson,Person
13804,Workhouse Whispers,Album,Dream Pop,2006,,2006,True,11435,Jie Zhou,Person
8095,Midnight in the Tearscape,Song,Southern Gothic Rock,2006,,2006,True,1294,Urszula Stochmal,Person
5839,Permanent Horizon,Song,Southern Gothic Rock,2006,2006,2006,True,2070,Jay Walters,Person
13804,Workhouse Whispers,Album,Dream Pop,2006,,2006,True,11434,Jun Meng,Person
13804,Workhouse Whispers,Album,Dream Pop,2006,,2006,True,11433,Guiying Shen,Person
13804,Workhouse Whispers,Album,Dream Pop,2006,,2006,True,397,Qiang Meng,Person
10437,Shadows Between Breaths,Song,Dream Pop,2007,,2007,True,2242,Guiying Zhang,Person
14893,Twilight's Threshold,Song,Synthwave,2007,2007,2007,True,16910,Phantom Roots,MusicalGroup
14989,Uh-Huh Uh-Huh,Song,Indie Rock,2007,2007,2007,True,14991,Tamara Brown,Person
2403,Royal Whispers,Song,Indie Folk,2007,2007,2007,True,2405,Jonathan Wade,Person
9651,In The Chamber of My Heart,Song,Indie Folk,2007,,2007,True,9654,Shannon White,Person
6875,Midnight's Promise,Song,Blues Rock,2007,,2007,True,6878,Ming Hu,Person
10437,Shadows Between Breaths,Song,Dream Pop,2007,,2007,True,2240,Jing Yi,Person
6875,Midnight's Promise,Song,Blues Rock,2007,,2007,True,6879,Li Du,Person
14989,Uh-Huh Uh-Huh,Song,Indie Rock,2007,2007,2007,True,14990,Joshua Oneill,Person
9077,Silent Echoes,Song,Doom Metal,2007,2007,2007,True,9078,Michael Gomez,Person
14893,Twilight's Threshold,Song,Synthwave,2007,2007,2007,True,14895,Fang Ding,Person
16014,Copenhagen's Forbidden Affair,Song,Doom Metal,2007,,2007,True,16015,Jacob Mcmahon,Person
9077,Silent Echoes,Song,Doom Metal,2007,2007,2007,True,9079,Chad Livingston,Person
14893,Twilight's Threshold,Song,Synthwave,2007,2007,2007,True,14894,Kimberly Estrada,Person
10574,Triangular Affection,Song,Lo-Fi Electronica,2007,2007,2007,True,10575,Scott Snyder,Person
6875,Midnight's Promise,Song,Blues Rock,2007,,2007,True,6876,Na Tan,Person
16014,Copenhagen's Forbidden Affair,Song,Doom Metal,2007,,2007,True,1891,Rachel Hill,Person
10437,Shadows Between Breaths,Song,Dream Pop,2007,,2007,True,10438,Blake Melton,Person
4652,Underofficer's Lament,Album,Doom Metal,2007,,2007,True,1497,Horst Barkholz,Person
6875,Midnight's Promise,Song,Blues Rock,2007,,2007,True,6877,Min Lei,Person
9077,Silent Echoes,Song,Doom Metal,2007,2007,2007,True,9080,Deanna Haney,Person
5046,Høstens Melodi (Autumn's Melody),Album,Americana,2007,,2007,True,16905,Fractured Mirrors,MusicalGroup
2658,Echoes of the Sacred Town,Song,Dream Pop,2007,,2007,True,2659,Matthew Hancock,Person
11246,Shadows of the Last Goodbye,Song,Southern Gothic Rock,2007,2004,2007,True,11248,Deborah Cruz,Person
2761,Echoes Without Footsteps,Song,Dream Pop,2007,,2007,True,540,Rei Ito,Person
5046,Høstens Melodi (Autumn's Melody),Album,Americana,2007,,2007,True,5050,Xiuying Liang,Person
14989,Uh-Huh Uh-Huh,Song,Indie Rock,2007,2007,2007,True,16784,The Cedar Lane Collective,MusicalGroup
14893,Twilight's Threshold,Song,Synthwave,2007,2007,2007,True,1335,Ming Long,Person
5046,Høstens Melodi (Autumn's Melody),Album,Americana,2007,,2007,True,5048,Dennis Bush,Person
4652,Underofficer's Lament,Album,Doom Metal,2007,,2007,True,3334,Birthe Täsche,Person
9115,Melodies of Memory,Album,Indie Rock,2007,,2007,True,16901,Jovens Sujos,MusicalGroup
4701,Rewind to Innocence,Album,Synthwave,2007,,2007,True,4703,Inaaya Bhatia,Person
4701,Rewind to Innocence,Album,Synthwave,2007,,2007,True,4702,Nehmat Kanda,Person
4652,Underofficer's Lament,Album,Doom Metal,2007,,2007,True,304,Belinda Knappe,Person
4652,Underofficer's Lament,Album,Doom Metal,2007,,2007,True,16813,The Seekers,MusicalGroup
10434,Whispers Through the Cracks,Song,Speed Metal,2007,2004,2007,True,16815,Sync Shift,MusicalGroup
11141,Whirlwind Romance,Album,Psychedelic Rock,2007,,2007,True,4551,Sander Veenstra,Person
11141,Whirlwind Romance,Album,Psychedelic Rock,2007,,2007,True,4550,Aimée van Dijk,Person
10434,Whispers Through the Cracks,Song,Speed Metal,2007,2004,2007,True,4434,Hansh Sidhu,Person
10434,Whispers Through the Cracks,Song,Speed Metal,2007,2004,2007,True,4433,Dhanuk Hari,Person
4701,Rewind to Innocence,Album,Synthwave,2007,,2007,True,16878,Quantum Sonic Architects,MusicalGroup
5046,Høstens Melodi (Autumn's Melody),Album,Americana,2007,,2007,True,76,Ming Ren,Person
15804,Daughter's Unspoken Transformation,Song,Dream Pop,2000,2000,2007,True,7965,Nirvi Chahal,Person
12150,Sing Song Swing,Song,Indie Folk,2007,,2007,True,12155,Yang Pan,Person
12150,Sing Song Swing,Song,Indie Folk,2007,,2007,True,12153,Xiulan Liu,Person
12150,Sing Song Swing,Song,Indie Folk,2007,,2007,True,12151,Chao Zeng,Person
11244,Echoes of a Vanishing Embrace,Song,Alternative Rock,2007,2007,2007,True,697,Yong Zheng,Person
15494,Probiotic Daydreams in Pink,Album,Psychedelic Rock,2007,,2007,True,4160,John Pitts,Person
14989,Uh-Huh Uh-Huh,Song,Indie Rock,2007,2007,2007,True,8196,Amy Lee,Person
11855,The Ballad of Fred Titmus,Song,Americana,2007,,2007,True,11858,Melinda Gregory,Person
10574,Triangular Affection,Song,Lo-Fi Electronica,2007,2007,2007,True,172,Lei Liao,Person
11855,The Ballad of Fred Titmus,Song,Americana,2007,,2007,True,11857,Gregory Frost,Person
11855,The Ballad of Fred Titmus,Song,Americana,2007,,2007,True,11856,Xiulan Fu,Person
11141,Whirlwind Romance,Album,Psychedelic Rock,2007,,2007,True,4419,Meike van Boven,Person
14989,Uh-Huh Uh-Huh,Song,Indie Rock,2007,2007,2007,True,8194,Pamela Chan,Person
16014,Copenhagen's Forbidden Affair,Song,Doom Metal,2007,,2007,True,3135,Chelsea Martinez,Person
5046,Høstens Melodi (Autumn's Melody),Album,Americana,2007,,2007,True,5049,Robert Knight,Person
2761,Echoes Without Footsteps,Song,Dream Pop,2007,,2007,True,2762,Tao Chen,Person
2755,Shadows of a Silent Chair,Album,Indie Folk,2007,,2007,True,2759,Yong Ding,Person
9115,Melodies of Memory,Album,Indie Rock,2007,,2007,True,2772,Stephen Bell,Person
7469,Liquid Desire,Song,Dream Pop,2007,,2007,True,7471,Lisa Lopez,Person
2755,Shadows of a Silent Chair,Album,Indie Folk,2007,,2007,True,2758,Fang Zhou,Person
2761,Echoes Without Footsteps,Song,Dream Pop,2007,,2007,True,2765,Guiying Ren,Person
2755,Shadows of a Silent Chair,Album,Indie Folk,2007,,2007,True,2757,Wei Zhu,Person
2761,Echoes Without Footsteps,Song,Dream Pop,2007,,2007,True,2763,Jun Li,Person
9115,Melodies of Memory,Album,Indie Rock,2007,,2007,True,2773,Christopher Reed,Person
16158,Whispers Along the Thames,Song,Psychedelic Rock,2007,,2007,True,16160,Thomas Bradley,Person
16158,Whispers Along the Thames,Song,Psychedelic Rock,2007,,2007,True,16159,James Thomas,Person
9387,Pyongyang's Immortal Son,Song,Dream Pop,2007,2007,2007,True,2659,Matthew Hancock,Person
8593,Dirt Road Daybreak,Song,Doom Metal,2007,2007,2007,True,8595,Vera Rivero Palomo,Person
11569,Breaking Rational,Song,Indie Rock,2008,,2008,True,11570,Gang Yao,Person
11217,Tenure Track Triumph,Song,Dream Pop,2008,,2008,True,10868,Ryan Palmer,Person
5891,Bleeding Heart's Pledge,Song,Dream Pop,2008,,2008,True,2282,Angelina Dallapé-Brunelleschi,Person
5891,Bleeding Heart's Pledge,Song,Dream Pop,2008,,2008,True,2280,Roberto Pausini,Person
5891,Bleeding Heart's Pledge,Song,Dream Pop,2008,,2008,True,2281,Michelotto Comisso,Person
9890,Lazy Light Cascade,Song,Blues Rock,2008,2008,2008,True,2818,Sonia Suda,Person
5891,Bleeding Heart's Pledge,Song,Dream Pop,2008,,2008,True,5892,Michelotto Toldo,Person
5891,Bleeding Heart's Pledge,Song,Dream Pop,2008,,2008,True,3336,Lucrezia Zamengo,Person
9890,Lazy Light Cascade,Song,Blues Rock,2008,2008,2008,True,9891,Jeffrey Ward,Person
11217,Tenure Track Triumph,Song,Dream Pop,2008,,2008,True,11218,Monica Thompson,Person
11614,Between Innocence and Ember,Song,Alternative Rock,2009,2009,2009,True,11615,Gabriel Malon,Person
5764,Toxic From the Start,Album,Avant-Garde Folk,2009,,2009,True,5765,Amanda Marquez,Person
11614,Between Innocence and Ember,Song,Alternative Rock,2009,2009,2009,True,16824,Brass Horizon Ensemble,MusicalGroup
1244,Stable Secrets at Dawn,Album,Indie Rock,2009,,2009,True,1246,Amber Allen,Person
1244,Stable Secrets at Dawn,Album,Indie Rock,2009,,2009,True,1248,Gang Cao,Person
11677,Forbidden Embrace,Song,Lo-Fi Electronica,2009,2009,2009,True,8212,Wei Du,Person
11298,Rodeo Retrograde,Album,Indie Pop,2009,,2009,True,1294,Urszula Stochmal,Person
11614,Between Innocence and Ember,Song,Alternative Rock,2009,2009,2009,True,8752,Anita Hamerla,Person
14700,Particulate Resonance,Song,Southern Gothic Rock,2009,2006,2009,True,8470,Michael Ross,Person
3335,Fragments of Your Falling,Album,Dream Pop,2009,2009,2009,True,2281,Michelotto Comisso,Person
3335,Fragments of Your Falling,Album,Dream Pop,2009,2009,2009,True,2282,Angelina Dallapé-Brunelleschi,Person
3335,Fragments of Your Falling,Album,Dream Pop,2009,2009,2009,True,16747,The Wandering Pulse,MusicalGroup
14300,Echoes of Sacrifice,Song,Doom Metal,2009,,2009,True,14303,Hansjürgen Pechel,Person
11298,Rodeo Retrograde,Album,Indie Pop,2009,,2009,True,1816,Kornel Preś,Person
14300,Echoes of Sacrifice,Song,Doom Metal,2009,,2009,True,14301,Hans-J. Hendriks,Person
14300,Echoes of Sacrifice,Song,Doom Metal,2009,,2009,True,14302,Alfons Rudolph-Holzapfel,Person
